league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills
LPL,Weibo Gaming,Oh My God,K'Sante,Viego,Aurora,Ashe,Braum,Gnar,Nocturne,Orianna,Varus,Neeko,22
LPL,Oh My God,Weibo Gaming,Rumble,Maokai,Ambessa,Jhin,Rell,Jayce,Wukong,Viktor,Miss Fortune,Rakan,29
LPL,Oh My God,Weibo Gaming,Aatrox,Zyra,Yone,Ziggs,Leona,Jax,Sejuani,Sylas,Jinx,Poppy,40
LCKC,Nongshim Esports Academy,DN Freecs Challengers,K'Sante,Maokai,Corki,Jhin,Leona,Jayce,Sejuani,Taliyah,Caitlyn,Braum,18
LCKC,DN Freecs Challengers,Nongshim Esports Academy,Renekton,Wukong,Viktor,Ezreal,Rell,Gnar,Vi,Akali,Varus,Rakan,28
LCKC,OKSavingsBank BRION Challengers,T1 Esports Academy,Maokai,Ivern,Tristana,Corki,Leona,K'Sante,Viego,Viktor,Varus,Rell,13
LCKC,OKSavingsBank BRION Challengers,T1 Esports Academy,Rumble,Wukong,Azir,Miss Fortune,Alistar,Camille,Vi,Aurora,Kai'Sa,Nautilus,19
LPL,LNG Esports,ThunderTalk Gaming,K'Sante,Pantheon,Vladimir,Kalista,Neeko,Rumble,Vi,Aurora,Ezreal,Leona,34
LCKC,BNK FEARX Youth,Hanwha Life Esports Challengers,Jayce,Vi,Aurora,Ezreal,Rakan,Jax,Viego,Azir,Varus,Rell,21
LPL,ThunderTalk Gaming,LNG Esports,Gnar,Wukong,Akali,Kai'Sa,Rakan,Renekton,Lee Sin,Taliyah,Corki,Rell,26
LCKC,Hanwha Life Esports Challengers,BNK FEARX Youth,K'Sante,Wukong,Akali,Smolder,Maokai,Rumble,Sejuani,Yone,Kai'Sa,Poppy,15
LPL,LNG Esports,ThunderTalk Gaming,Jax,Volibear,Yone,Ashe,Braum,Gragas,Xin Zhao,Viktor,Varus,Karma,26
LCKC,Hanwha Life Esports Challengers,BNK FEARX Youth,Ornn,Lee Sin,Corki,Ashe,Braum,Gragas,Xin Zhao,Taliyah,Kalista,Taric,18
LPL,LNG Esports,ThunderTalk Gaming,Ambessa,Sejuani,Sylas,Twitch,Lulu,Poppy,Viego,Azir,Jinx,Blitzcrank,29
LCKC,Dplus KIA Challengers,KT Rolster Challengers,Gragas,Zyra,Corki,Varus,Nautilus,Ornn,Viego,Azir,Ashe,Rell,21
LCKC,KT Rolster Challengers,Dplus KIA Challengers,Camille,Vi,Aurora,Kalista,Leona,Ambessa,Wukong,Orianna,Caitlyn,Neeko,15
