league,year,date,game,patch,side,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,kills_t2,market_name,selection_line,bet_line,bet_value,bet_type,event_id,bet_status,house_odds,home_score,away_score,actual_value,gamelength,total_kills,result_t1,matched_map,matching_score
LPL,2025,2025-05-22 15:00:00,For The Win Esports vs Odivelas Sports Club,15.09,Blue,For The Win Esports,Odivelas Sports Club,Gwen,Pantheon,Hwei,Varus,Rell,Zac,Taliyah,Sion,Jhin,Janna,16,Map 1 - Totals,Under Total Kills,under,36.5,kills,d0037b9bc8c135abfae3,won,1.83,0,0,35.0,36.17,35,1,1,HIGH
LPL,2025,2025-05-22 15:00:00,For The Win Esports vs Odivelas Sports Club,15.09,Blue,For The Win Esports,Odivelas Sports Club,Shen,Naafiri,Orianna,Jinx,Lulu,Cho'Gath,Gragas,Yasuo,Corki,Bard,5,Map 2 - Totals,Under Total Kills,under,36.5,kills,d0037b9bc8c135abfae3,won,1.83,0,0,22.0,30.2,22,1,2,HIGH
LCK,2025,2025-05-23 05:00:00,Gen.G vs DRX,15.1,Blue,Gen.G,DRX,Jayce,Xin Zhao,Ahri,Lucian,Braum,Yorick,Trundle,Ryze,Varus,Rell,7,Map 1 - Totals,Over Total Kills,over,25.5,kills,93d2ccf0067f26886673,won,1.83,0,0,29.0,26.3,29,1,1,HIGH
LCK,2025,2025-05-23 05:00:00,Gen.G vs DRX,15.1,Blue,Gen.G,DRX,Gnar,Poppy,Viktor,Senna,Gragas,Gwen,Nocturne,Galio,Tristana,Alistar,19,Map 2 - Totals,Over Total Kills,over,25.5,kills,93d2ccf0067f26886673,won,1.83,0,0,32.0,37.28,32,0,2,HIGH
LCP,2025,2025-05-23 06:30:00,Team Secret Whales vs Chiefs Esports Club,15.1,Blue,Team Secret Whales,Chiefs Esports Club,Sion,Xin Zhao,Taliyah,Varus,Nautilus,Rumble,Vi,Ahri,Kai'Sa,Neeko,7,Map 1 - Totals,Under Total Kills,under,24.5,kills,58a3b1673746a01e71b2,lost,1.83,0,0,26.0,32.37,26,1,1,HIGH
LCP,2025,2025-05-23 06:30:00,Team Secret Whales vs Chiefs Esports Club,15.1,Blue,Team Secret Whales,Chiefs Esports Club,Renekton,Nidalee,Corki,Miss Fortune,Leona,Jayce,Viego,Aurora,Ezreal,Rell,3,Map 2 - Totals,Under Total Kills,under,24.5,kills,58a3b1673746a01e71b2,won,1.83,0,0,19.0,29.15,19,1,2,HIGH
TCL,2025,2025-05-23 12:00:00,BoostGate Esports vs ULF Esports,15.09,Blue,BoostGate Esports,ULF Esports,Rumble,Kha'Zix,Galio,Miss Fortune,Rell,Gwen,Xin Zhao,Taliyah,Jhin,Leona,5,Map 1 - Totals,Over Total Kills,over,32.5,kills,592ec71c06861bc27f26,lost,1.83,0,0,29.0,28.05,29,1,1,HIGH
TCL,2025,2025-05-23 12:00:00,BoostGate Esports vs ULF Esports,15.09,Blue,BoostGate Esports,ULF Esports,Shen,Pantheon,Annie,Ezreal,Bard,Yorick,Naafiri,Hwei,Kalista,Renata Glasc,24,Map 2 - Totals,Over Total Kills,over,32.5,kills,592ec71c06861bc27f26,won,1.83,0,0,37.0,29.07,37,0,2,HIGH
NACL,2025,2025-05-23 18:00:00,Winthrop University vs Near Airport,15.1,Blue,Winthrop University,Near Airport,Gwen,Vi,Annie,Senna,Rakan,Gragas,Xin Zhao,Galio,Lucian,Milio,12,Map 1 - Totals,Over Total Kills,over,27.5,kills,327b59b9d59ad356db31,lost,1.83,0,0,18.0,29.0,18,0,1,HIGH
NACL,2025,2025-05-23 18:00:00,Winthrop University vs Near Airport,15.1,Blue,Winthrop University,Near Airport,Gnar,Lillia,Corki,Jhin,Alistar,Yone,Sejuani,Anivia,Jinx,Bard,5,Map 2 - Totals,Over Total Kills,over,27.5,kills,327b59b9d59ad356db31,lost,1.83,0,0,24.0,30.83,24,1,2,HIGH
