league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills,bet_value
LPL,For The Win Esports,Odivelas Sports Club,Gwen,Pantheon,Hwei,Varus,Rell,Zac,Taliyah,Sion,Jhin,Janna,35,36.5
LPL,For The Win Esports,Odivelas Sports Club,Shen,Naafiri,Orianna,Jinx,Lulu,Cho'Gath,Gragas,Yasuo,Corki,Bard,22,36.5
LCK,Gen.G,DRX,Jayce,Xin Zhao,Ahri,Lucian,Braum,Yorick,Trundle,Ryze,Varus,Rell,29,25.5
LCK,Gen.G,DRX,Gnar,Poppy,Viktor,Senna,Gragas,Gwen,Nocturne,Galio,Tristana,Alistar,32,25.5
LCP,Team Secret Whales,Chiefs Esports Club,Sion,Xin Zhao,Taliyah,Varus,Nautilus,Rumble,Vi,Ahri,Kai'Sa,Neeko,26,24.5
LCP,Team Secret Whales,Chiefs Esports Club,Renekton,Nidalee,Corki,Miss Fortune,Leona,Jayce,Viego,Aurora,Ezreal,Rell,19,24.5
TCL,BoostGate Esports,ULF Esports,Rumble,Kha'Zix,Galio,Miss Fortune,Rell,Gwen,Xin Zhao,Taliyah,Jhin,Leona,29,32.5
TCL,BoostGate Esports,ULF Esports,Shen,Pantheon,Annie,Ezreal,Bard,Yorick,Naafiri,Hwei,Kalista,Renata Glasc,37,32.5
NACL,Winthrop University,Near Airport,Gwen,Vi,Annie,Senna,Rakan,Gragas,Xin Zhao,Galio,Lucian,Milio,18,27.5
NACL,Winthrop University,Near Airport,Gnar,Lillia,Corki,Jhin,Alistar,Yone,Sejuani,Anivia,Jinx,Bard,24,27.5
LTA N,FlyQuest,Shopify Rebellion,Ornn,Pantheon,Galio,Varus,Alistar,Rumble,Naafiri,Annie,Jhin,Braum,25,27.5
LTA N,FlyQuest,Shopify Rebellion,Yorick,Skarner,Azir,Ezreal,Leona,Mordekaiser,Xin Zhao,Taliyah,Senna,Rell,45,27.5
LEC,Karmine Corp,Movistar KOI,Rumble,Xin Zhao,Sylas,Ezreal,Rakan,Galio,Vi,Ahri,Xayah,Rell,30,27.5
LEC,Karmine Corp,Movistar KOI,Ambessa,Sejuani,Yone,Kalista,Leona,Jax,Pantheon,Akali,Kai'Sa,Neeko,36,27.5
LPL,Weibo Gaming,ThunderTalk Gaming,Sion,Xin Zhao,Taliyah,Xayah,Rakan,Yorick,Pantheon,Ahri,Ezreal,Alistar,27,29.5
LPL,Weibo Gaming,ThunderTalk Gaming,Renekton,Naafiri,Sylas,Lucian,Nami,K'Sante,Wukong,Galio,Miss Fortune,Neeko,27,29.5
VCS,Saigon Secret,GenZ Gaming,Ambessa,Xin Zhao,Taliyah,Varus,Nautilus,Jayce,Naafiri,Sylas,Jhin,Neeko,52,35.5
LFL,Gentle Mates,BK ROG Esports,Rumble,Xin Zhao,Ahri,Ezreal,Rakan,Ambessa,Naafiri,Galio,Senna,Nautilus,19,28.5
LFL,Gentle Mates,BK ROG Esports,Gwen,Maokai,Corki,Lucian,Braum,Kennen,Wukong,Orianna,Miss Fortune,Rell,13,28.5
